                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -5.26994045230545e-03
 9.75654706431459e-01 -1.68382754296859e-03
 9.51285656119715e-01  1.00597007986949e-03
 9.26883801033117e-01  2.72246562945837e-03
 9.02497368641042e-01  3.58577580967788e-03
 8.78196389808045e-01  3.36341110800472e-03
 8.54046741629766e-01  2.28632243996517e-03
 8.30103453416449e-01  2.89639222718865e-04
 8.06418020146568e-01 -2.51505257246558e-03
 7.83040766673438e-01 -6.20119911690532e-03
 7.60031670930185e-01 -1.06862848135916e-02
 7.37408937268570e-01 -1.58472603885027e-02
 7.15184907398727e-01 -2.15840576236150e-02
 6.93364724684823e-01 -2.77363242538737e-02
 6.71942504304807e-01 -3.41983248324600e-02
 6.50919620873224e-01 -4.09019289326004e-02
 6.30262097162824e-01 -4.76629592970972e-02
 6.09963880196479e-01 -5.44217721895051e-02
 5.90003681596645e-01 -6.10677922537555e-02
 5.70366623039491e-01 -6.75131597829080e-02
 5.51045647068589e-01 -7.37082716658862e-02
 5.32029755165692e-01 -7.95622649143218e-02
 5.13323586371402e-01 -8.50786866989841e-02
 4.94922056482394e-01 -9.01567395397374e-02
 4.76831990461504e-01 -9.48328575769508e-02
 4.59060337145807e-01 -9.90086600695710e-02
 4.41612610232939e-01 -1.02746345470198e-01
 4.24510409414827e-01 -1.05987126107260e-01
 4.07759856982085e-01 -1.08818424726276e-01
 3.91379382090627e-01 -1.11173855616056e-01
 3.75374731730848e-01 -1.13268795902687e-01
 3.59758729732509e-01 -1.14963482263182e-01
 3.44540582739436e-01 -1.16277260378465e-01
 3.29723041898630e-01 -1.17244463923559e-01
 3.15318909591116e-01 -1.17667189973442e-01
 3.01322670380543e-01 -1.17927933428890e-01
 2.87746117054920e-01 -1.18022835968314e-01
 2.74582354913001e-01 -1.17676985116516e-01
 2.61834551952358e-01 -1.17063626132365e-01
 2.49502809826094e-01 -1.16303561541716e-01
 2.37578046757665e-01 -1.15243481047516e-01
 2.26065235991046e-01 -1.14040904649895e-01
 2.14952512465149e-01 -1.12637838535146e-01
 2.04237057450818e-01 -1.11054139598164e-01
 1.93918115696599e-01 -1.09358991605938e-01
 1.83980338991413e-01 -1.07496253455209e-01
 1.74421979128888e-01 -1.05518607506630e-01
 1.65236988388079e-01 -1.03458108299587e-01
 1.56409861647021e-01 -1.01281640478208e-01
 1.47938160148134e-01 -9.90318216578749e-02
 1.39813984622570e-01 -9.67295675335572e-02
 1.32021293247260e-01 -9.43523422901097e-02
 1.24556186981996e-01 -9.19314470843550e-02
 1.17411531676652e-01 -8.94873594142906e-02
 1.10570389810384e-01 -8.70023048285649e-02
 1.04026746738797e-01 -8.44966783727099e-02
 9.77747163196514e-02 -8.19919478981384e-02
 9.17981889873975e-02 -7.94793975518939e-02
 8.60884302219995e-02 -7.69630782091919e-02
 8.06409443333853e-02 -7.44579193523131e-02
 7.54466246562348e-02 -7.19711638747215e-02
 7.04892581197902e-02 -6.94943770381856e-02
 6.57646899063852e-02 -6.70365812735340e-02
 6.12685436819038e-02 -6.46068371318179e-02
 5.69888268656891e-02 -6.22061280963600e-02
 5.29120944891846e-02 -5.98302753852075e-02
 4.90364004877857e-02 -5.74851696406680e-02
 4.53584685058553e-02 -5.51760226362505e-02
 4.18653563479842e-02 -5.29044309143635e-02
 3.85432905973505e-02 -5.06671176273938e-02
 3.53945866706122e-02 -4.84646411495726e-02
 3.24195846979859e-02 -4.62976655071698e-02
 2.96105502756273e-02 -4.41667530975784e-02
 2.69451543271712e-02 -4.20709855884259e-02
 2.44277293210539e-02 -4.00099237607505e-02
 2.20623210538348e-02 -3.79837245134886e-02
 1.98500866662092e-02 -3.59925426077028e-02
 1.77613698854369e-02 -3.40369295782394e-02
 1.57916229322251e-02 -3.21150757077152e-02
 1.39553266152477e-02 -3.02252565252129e-02
 1.22621168858337e-02 -2.83664671252805e-02
 1.07103911647382e-02 -2.65371923973622e-02
 9.25345740440888e-03 -2.47335999513218e-02
 7.90125255745730e-03 -2.29596341492694e-02
 6.67138127664807e-03 -2.12192106165238e-02
 5.57568560264035e-03 -1.95156490396702e-02
 4.60057253992491e-03 -1.78497364779230e-02
 3.65251579030495e-03 -1.62151995429676e-02
 2.78466648797503e-03 -1.46332724062769e-02
 2.05777631521546e-03 -1.30892446843628e-02
 1.51601545897458e-03 -1.15874661845606e-02
 1.17725438531108e-03 -1.01296014036657e-02
 9.07494958077569e-04 -8.70242274883158e-03
 6.68475316912713e-04 -7.30996793204676e-03
 4.63472055280736e-04 -5.96002086612097e-03
 2.95576821748654e-04 -4.65846903416060e-03
 1.65980885253574e-04 -3.40945133550072e-03
 7.37869647702343e-05 -2.21565798935707e-03
 1.87660581383162e-05 -1.07888417996041e-03
 0.00000000000000e+00  0.00000000000000e+00
 3.36810090489702e-05  1.07509310496315e-03
 1.38438672865270e-04  2.24278528113026e-03
 3.05681118402260e-04  3.44803712664791e-03
 5.28034557662783e-04  4.68911693002251e-03
 7.92918275357563e-04  5.97342800266329e-03
 1.08188156730220e-03  7.30097683881751e-03
 1.38653294114168e-03  8.67028589141124e-03
 1.75562160068521e-03  1.00940345991569e-02
 2.20508605485871e-03  1.15752269587447e-02
 2.73339131698813e-03  1.31120489401165e-02
 3.33746003580039e-03  1.47014997143610e-02
 4.01113890008364e-03  1.63391059230962e-02
 4.74539780788089e-03  1.80187247248772e-02
 5.54493165663302e-03  1.97363600857467e-02
 6.47032569680427e-03  2.15022537438788e-02
 7.52321713724875e-03  2.33166842700948e-02
 8.69337626837900e-03  2.51783600779348e-02
 9.96557221311764e-03  2.70856662188688e-02
 1.13183082731152e-02  2.90363815084219e-02
 1.27690160713193e-02  3.10336789901031e-02
 1.43557134167443e-02  3.30814479015094e-02
 1.60763825200736e-02  3.51760371328128e-02
 1.79266363852638e-02  3.73122841282519e-02
 1.98985783781080e-02  3.94843447946569e-02
 2.20051064126673e-02  4.16914330893103e-02
 2.42764006058359e-02  4.39386716027470e-02
 2.67095673780662e-02  4.62238408505192e-02
 2.92982744153315e-02  4.85442130559965e-02
 3.20340096407025e-02  5.08972122532288e-02
 3.49425864469659e-02  5.32870739780032e-02
 3.80372892218748e-02  5.57122258775490e-02
 4.13168179139620e-02  5.81671791121232e-02
 4.47770678992778e-02  6.06461690349382e-02
 4.84310141624208e-02  6.31502628005050e-02
 5.22988009736441e-02  6.56821148055891e-02
 5.63804877550557e-02  6.82346310124956e-02
 6.06736630879312e-02  7.07994025434707e-02
 6.51909911936279e-02  7.33786774906945e-02
 6.99506027243816e-02  7.59752220792796e-02
 7.49534838552175e-02  7.85779350348035e-02
 8.01992665546079e-02  8.11754657665576e-02
 8.57066662001825e-02  8.37776767268631e-02
 9.14863066123161e-02  8.63780904581539e-02
 9.75399212589862e-02  8.89574136559196e-02
 1.03874978156335e-01  9.15077930189788e-02
 1.10510729081614e-01  9.40417184142671e-02
 1.17449335500007e-01  9.65395729137793e-02
 1.24692668662186e-01  9.89832781617851e-02
 1.32259803920553e-01  1.01392718860215e-01
 1.40156732028216e-01  1.03744303201129e-01
 1.48385398900131e-01  1.06004158673787e-01
 1.56963102022141e-01  1.08199696566383e-01
 1.65895478354874e-01  1.10307990889550e-01
 1.75182708646716e-01  1.12288400166743e-01
 1.84841109081326e-01  1.14180772500148e-01
 1.94874295660937e-01  1.15946579260795e-01
 2.05283103980330e-01  1.17543034915840e-01
 2.16082620438263e-01  1.19027895657707e-01
 2.27271286454181e-01  1.20327542136511e-01
 2.38852765366672e-01  1.21450240448090e-01
 2.50836929042500e-01  1.22429971251412e-01
 2.63219146002127e-01  1.23124567794191e-01
 2.76008851766760e-01  1.23702856582215e-01
 2.89204517412301e-01  1.24002816905476e-01
 3.02804921665399e-01  1.23935903916491e-01
 3.16815579597056e-01  1.23779427067818e-01
 3.31229955213651e-01  1.23483768358621e-01
 3.46052424796814e-01  1.22738792605905e-01
 3.61278322036076e-01  1.21769216890983e-01
 3.76907392570716e-01  1.20622295243783e-01
 3.92937489062892e-01  1.19218249590599e-01
 4.09365316074084e-01  1.17580601890494e-01
 4.26188728633657e-01  1.15677409197383e-01
 4.43402986417099e-01  1.13546468296085e-01
 4.61004392514817e-01  1.11155293469172e-01
 4.78987086111266e-01  1.08537012776866e-01
 4.97345899586027e-01  1.05670621945911e-01
 5.16075370537219e-01  1.02590448120573e-01
 5.35167931607631e-01  9.92828646446832e-02
 5.54615957383420e-01  9.57678789065121e-02
 5.74410505899650e-01  9.20443339884938e-02
 5.94541550136421e-01  8.81211363622507e-02
 6.14999891650193e-01  8.40128898531026e-02
 6.35773342294223e-01  7.97226853888554e-02
 6.56854597466655e-01  7.52856909102110e-02
 6.78230546825314e-01  7.07091286359083e-02
 6.99890473584125e-01  6.60193474870098e-02
 7.21820440253407e-01  6.12299658528634e-02
 7.44005395989628e-01  5.63548782170697e-02
 7.66433371035698e-01  5.14261301587680e-02
 7.89087765084015e-01  4.64588645888177e-02
 8.11951593162134e-01  4.14705541817027e-02
