Wind [m/s]	Rotor Speed [rpm]	Pitch [deg]	TSR	Mech Power [kW]	Elec Power [kW]	Generator Torque [kNm]	Thrust [kN]	Torque [kNm]
3	1.846621015	0.580643147	9.153211158	525.934824	490.07673	2717.6587	272229.21	2719.7284
4	2.462161354	0.33798135	9.153211158	1239.737786	1200.3545	4810.1929	509656.83	4808.2242
5	3.077701692	0.009149508	9.153211158	2429.408403	2355.7151	7540.0616	804684.55	7537.8135
6	3.693242031	-0.337970582	9.153211158	4203.560528	4077.5212	10869.892	1163523.4	10868.783
7	4.308782369	-0.63879331	9.153211158	6659.070247	6448.3356	14754.493	1571259.2	14758.099
8	4.924322708	-0.979958552	9.153211158	9890.314354	9547.9796	19167.494	2024318.4	19179.398
9	5.539863046	-1.326795026	9.153211158	13975.68488	13434.352	24067.666	2511004.6	24090.48
10	6.155403384	0.731915237	9.153211158	18282.41319	17153.65	28326.33	2621105.6	28362.753
11	6.770943723	2.428591714	9.153211158	22059.3076	20830.609	31068.524	2738280.5	31111.006
12	7.061099588	5.094706078	8.75	23122.10102	22000.215	31219.998	2476454.5	31269.889
13	7.061099588	7.265853299	8.076923077	23121.65292	21999.677	31219.703	2187618.6	31269.283
14	7.061099588	9.014132385	7.5	23122.74285	21999.691	31219.396	1985167	31270.757
15	7.061099588	10.53730905	7	23124.57518	21999.929	31219.243	1830102.9	31273.235
16	7.061099588	11.91818254	6.5625	23125.50613	21999.809	31220.094	1705777.3	31274.494
17	7.061099588	13.20451403	6.176470588	23127.44715	22000.352	31219.642	1602305.1	31277.119
18	7.061099588	14.42147996	5.833333333	23129.0081	21999.967	31219.248	1514598.5	31279.23
19	7.061099588	15.58471296	5.526315789	23131.82535	22000.235	31219.894	1439149	31283.04
20	7.061099588	16.70423344	5.25	23133.94162	22000.061	31219.796	1373826.2	31285.902
21	7.061099588	17.78859956	5	23134.25514	22000.308	31219.222	1316470.7	31286.326
22	7.061099588	18.84311176	4.772727273	23137.01324	21999.685	31219.662	1265773.9	31290.056
23	7.061099588	19.87209494	4.565217391	23139.14799	22000.097	31219.662	1220715.6	31292.943
24	7.061099588	20.87848285	4.375	23141.54673	21999.638	31219.847	1180338.4	31296.187
25	7.061099588	21.86473112	4.2	23145.82658	22000.05	31219.094	1144358.5	31301.975
