z_[m],phi_[Ns/m^2],phit_[-]
-50.0,21680.657307417594,0.2567132892082652
-49.0,21690.465955314536,0.25682943007192105
-48.0,21719.901806285525,0.25717796997162334
-47.0,21768.997292398977,0.2577592929244635
-46.0,21837.886540180883,0.2585749870770169
-45.0,21926.87792990708,0.25962870385524445
-44.0,22035.990677686565,0.26092067079055686
-43.0,22165.30155606429,0.2624517969205473
-42.0,22314.961721294443,0.2642238720350108
-41.0,22485.246128754556,0.26624015178705546
-40.0,22676.668994578595,0.26850672483502985
-39.0,22889.547575560602,0.2710273477087276
-38.0,23124.85831661218,0.2738135821602411
-37.0,23383.079829721602,0.27687109527133924
-36.0,23665.487770576925,0.2802149916471516
-35.0,23972.747655861436,0.2838531514443712
-34.0,24306.084310356175,0.287800077396646
-33.0,24666.750298742652,0.2920706006963508
-32.0,25054.78957029885,0.2966652417319383
-31.0,25472.80369052607,0.3016148047556717
-30.0,25919.51495725101,0.3069041609306856
-29.0,26395.352743699903,0.3125383943193146
-28.0,26902.578968597587,0.31854428753186154
-27.0,27442.317772430706,0.3249351511334891
-26.0,28016.762390990072,0.3317369544832385
-25.0,28629.501573956033,0.3389921907454786
-24.0,29280.645146917668,0.34670216032765605
-23.0,29976.586022369993,0.3549425595322836
-22.0,30718.454403862943,0.36372677071519405
-21.0,31510.05639323069,0.37309986063368444
-20.0,32350.86406223204,0.3830555782690083
-19.0,33253.38055417796,0.3937419690885742
-18.0,34222.098890093184,0.4052122334261814
-17.0,35259.42075671248,0.41749480883760076
-16.0,36375.92197355088,0.4307149200046895
-15.0,37580.63049405548,0.44497946385365067
-14.0,38883.60381867306,0.4604075278265436
-13.0,40304.16860113886,0.47722795225691605
-12.0,41855.830565146694,0.49560065382549473
-11.0,43565.76080360867,0.5158473562020903
-10.0,45444.16016149881,0.5380888441225554
-9.0,47536.10019381915,0.5628587945400487
-8.0,49866.27728070532,0.5904496288920877
-7.0,52479.70730402729,0.6213943649252098
-6.0,55404.34977911814,0.6560240617509563
-5.0,58722.399722619695,0.6953119626054272
-4.0,62488.99251528559,0.7399109067796238
-3.0,66800.11141183873,0.7909573993471449
-2.0,71798.57971088232,0.8501425624100614
-1.0,77640.60626852991,0.9193160119042634
0.0,84454.75251508545,1.0
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
5.0,0.0,0.0
6.0,0.0,0.0
7.0,0.0,0.0
8.0,0.0,0.0
9.0,0.0,0.0
10.0,0.0,0.0
11.0,0.0,0.0
12.0,0.0,0.0
13.0,0.0,0.0
14.0,0.0,0.0
15.0,0.0,0.0
16.0,0.0,0.0
17.0,0.0,0.0
18.0,0.0,0.0
19.0,0.0,0.0
20.0,0.0,0.0
21.0,0.0,0.0
22.0,0.0,0.0
23.0,0.0,0.0
24.0,0.0,0.0
25.0,0.0,0.0
26.0,0.0,0.0
27.0,0.0,0.0
28.0,0.0,0.0
29.0,0.0,0.0
30.0,0.0,0.0
31.0,0.0,0.0
32.0,0.0,0.0
33.0,0.0,0.0
34.0,0.0,0.0
35.0,0.0,0.0
36.0,0.0,0.0
37.0,0.0,0.0
38.0,0.0,0.0
39.0,0.0,0.0
40.0,0.0,0.0
41.0,0.0,0.0
42.0,0.0,0.0
43.0,0.0,0.0
44.0,0.0,0.0
45.0,0.0,0.0
46.0,0.0,0.0
47.0,0.0,0.0
48.0,0.0,0.0
49.0,0.0,0.0
50.0,0.0,0.0
