Time_[s],Eta_[m],F_-20m_[N],M_-20m_[Nm],F_sb_[N],M_sb_[Nm],GX_[m],GV_[m/s],GA_[m/s^2],GF_[N]
0.0,50.00053,411663.97000000003,-14191395.0,1601548.7,15924136.999999998,0.0,0.0,1.3626716,672663.5
0.02,50.030342,422469.0,-13891650.0,1613976.0,16584055.0,0.00027203423,0.027172703,1.3504065,673727.44
0.04,50.060154,454636.7,-12999911.0,1651519.4,18554250.0,0.0010828376,0.0538451,1.3119925,674770.06
0.06,50.08997,507424.68,-11537159.0,1713394.2,21806025.0,0.0024182785,0.079485625,1.2482392,675791.4
0.08,50.12972,580008.2,-9528872.0,1798292.0999999999,26267652.0,0.0042536263000000005,0.103612736,1.160807,677131.94
0.09999999400000001,50.15953,669912.7999999999,-7000529.0,1904381.7,31848272.999999996,0.006550019,0.12574488,1.0485464,677068.06
0.12,50.189341999999996,777385.86,-4028563.7,2030486.0,38461812.00000001,0.009266828000000001,0.14544432,0.9182713,678004.3
0.14,50.220814000000004,898550.84,-644450.2999999999,2173334.1999999997,45960023.0,0.0123492945,0.16233578,0.76810783,677791.56
0.16,50.250626000000004,1032665.4000000001,3061888.1999999997,2330833.5,54209010.0,0.015739124,0.17609411,0.6056366,678727.75
0.17999999,50.280437,1177749.9000000001,7072467.3,2495920.2,62998370.0,0.019370958,0.1864629,0.42996323,678770.3
0.19999999,50.31025,1325391.4,11271885.0,2670294.4000000004,72222890.0,0.023174137,0.19322324,0.24487802,678153.25
0.22,50.34006,1478064.1,15559728.000000002,2850293.7,81696080.0,0.027074472999999998,0.19623132,0.05549149,677642.56
0.24,50.37981,1633541.3,19846072.0,3032647.5,91245780.0,0.030997772000000003,0.19547461,-0.13129720000000003,678834.2
0.26,50.409626,1785966.7,24087452.999999996,3212385.3,100661586.0,0.034868076,0.19095312,-0.3197894,677791.56
0.28,50.439438,1934267.9999999998,28175967.0,3386497.8000000003,109771336.0,0.038611196,0.18276066,-0.4981032,678685.2
0.29999998,50.46925,2073991.2,32102617.000000004,3540465.0,118302470.0,0.042154707,0.17107233,-0.66934747,678238.4
0.32,50.500717,2203899.1999999997,35678566.0,3692993.7,126278880.0,0.045431484,0.15610076,-0.82487696,679153.3
0.34,50.53053,2319042.9999999995,38918800.0,3829170.4,133437560.0,0.0483797,0.13813363,-0.96882266,677876.6
0.35999998,50.560345,2421237.3,41725906.0,3943632.0,139620720.0,0.050939295,0.11751489999999999,-1.0902821000000003,678493.7
0.38,50.590157,2505450.6999999997,44045930.0,4037163.8,144775750.0,0.05306434,0.09465731,-1.191257,678876.7
0.39999998,50.61997,2566734.4,45943312.00000001,4105710.0,148682660.0,0.05471421,0.06992984,-1.2777948000000001,674982.8
0.42,50.64978,2612264.0,47176758.0,4158951.0,151451450.0,0.055853575,0.04381403,-1.3297941999999998,676131.9
0.44,50.68953,2638163.0,47872164.00000001,4183675.0,152881280.0,0.056461237000000004,0.016891478,-1.3576888999999999,676514.9
0.45999998,50.71934,2639400.0999999996,47959090.0,4186029.3000000003,153024730.0,0.056526594000000006,-0.010356271,-1.3627993999999999,675323.25
0.48,50.750813,2619439.6999999997,47478000.0,4161044.0,151814880.0,0.056047887000000005,-0.037435167000000005,-1.3408669,674599.8
0.5,50.780623999999996,2579106.4,46368950.0,4113689.5000000005,149342580.0,0.05503394,-0.06380738,-1.2921893999999998,674472.1
