# x                          U1x                         U1y                    U1z                      V1x                           V1y                  V1z                       U2x                           U2y                    U2z                        V2x                           V2y                  V2z                                               
1.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00  0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00  0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 0.000000000000000000e+00
1.699875000000000025e+00 1.759755605459973481e-06 3.660655799294888454e-09 0.000000000000000000e+00 -3.660108971216667053e-08 1.759480930191871506e-05 0.000000000000000000e+00 -1.338920531496656023e-08 6.247746798626557950e-06 0.000000000000000000e+00 -6.246396054925572371e-05 -1.338609653931746306e-07 0.000000000000000000e+00
2.699864999999999959e+00 6.190662234649610114e-05 1.285865369652155067e-07 0.000000000000000000e+00 -2.103489996231091429e-07 1.013894793147536059e-04 0.000000000000000000e+00 -4.706647856001849947e-07 2.193171605990103961e-04 0.000000000000000000e+00 -3.586268341007977267e-04 -7.704919071214388441e-07 0.000000000000000000e+00
3.699855000000000338e+00 2.043562021434459366e-04 4.209989252356229030e-07 0.000000000000000000e+00 -3.739201319540983895e-07 1.846563028784989487e-04 0.000000000000000000e+00 -1.552428304975826981e-06 7.175539225837087622e-04 0.000000000000000000e+00 -6.367802865303664756e-04 -1.401421864532281801e-06 0.000000000000000000e+00
4.699844999999999828e+00 4.339620747744515807e-04 8.753284546414720210e-07 0.000000000000000000e+00 -5.338852676560327434e-07 2.762002012199731840e-04 0.000000000000000000e+00 -3.291810232368850484e-06 1.489894791136867026e-03 0.000000000000000000e+00 -9.060387637876579723e-04 -2.088828825145864655e-06 0.000000000000000000e+00
5.699835000000000207e+00 7.636504959325292503e-04 1.497527202647442608e-06 0.000000000000000000e+00 -7.188654554128019913e-07 3.892149639110972933e-04 0.000000000000000000e+00 -5.770421466973744413e-06 2.538955054418895463e-03 0.000000000000000000e+00 -1.204903583356027119e-03 -2.911038611077786573e-06 0.000000000000000000e+00
6.699824999999999697e+00 1.227875992110931619e-03 2.339684787460094954e-06 0.000000000000000000e+00 -9.808263209789388143e-07 5.490628368620265173e-04 0.000000000000000000e+00 -9.207754908109317725e-06 3.933976127869880969e-03 0.000000000000000000e+00 -1.608123387721338473e-03 -4.031097212005326020e-06 0.000000000000000000e+00
7.699815000000000076e+00 1.877477748187052469e-03 3.489301304499188977e-06 0.000000000000000000e+00 -1.323870133940790721e-06 7.538734271484654262e-04 0.000000000000000000e+00 -1.391631913510759745e-05 5.789819497797213041e-03 0.000000000000000000e+00 -2.110445394709062165e-03 -5.408923386872780126e-06 0.000000000000000000e+00
8.699804999999999566e+00 2.743314632689832985e-03 5.006637385428436929e-06 0.000000000000000000e+00 -1.717501376849744706e-06 9.817788355325493890e-04 0.000000000000000000e+00 -2.004743117994273606e-05 8.170290230501923295e-03 0.000000000000000000e+00 -2.659278444132826165e-03 -6.877599427785691406e-06 0.000000000000000000e+00
9.701024999999999565e+00 3.849764601389343149e-03 6.948878190865403771e-06 0.000000000000000000e+00 -2.169430608993685690e-06 1.231582024172366528e-03 0.000000000000000000e+00 -2.770282791938414921e-05 1.113364206196434773e-02 0.000000000000000000e+00 -3.273153870044018168e-03 -8.439675594950775045e-06 0.000000000000000000e+00
1.069978500000000032e+01 5.208277662202812422e-03 9.357424389434451493e-06 0.000000000000000000e+00 -2.651427007236835880e-06 1.487938812675339631e-03 0.000000000000000000e+00 -3.691269142032354417e-05 1.472364506300748339e-02 0.000000000000000000e+00 -3.910453675275875514e-03 -9.992756123670103473e-06 0.000000000000000000e+00
1.169977500000000070e+01 6.824079208478859432e-03 1.225543680630915295e-05 0.000000000000000000e+00 -3.145312882806717267e-06 1.744584735017563068e-03 0.000000000000000000e+00 -4.763190898203888834e-05 1.893950903905853786e-02 0.000000000000000000e+00 -4.515763964155601606e-03 -1.143823136888219952e-05 0.000000000000000000e+00
