WS_[m/s],RotSpeed_[rpm],BldPitch_[deg],GenSpeed_[rpm],GenPower_[kW],GenTorque_[kN-m],RtAeroFxh_[kN],RtAeroMxh_[kN-m],RotThrust_[kN],RotTorq_[kN-m],TTDspFA_[m],TTDspSS_[m],RtAeroCp_[-],RtAeroCt_[-],RtAeroCq_[-],RtVAvgxh_[m/s],RtTSR_[-]
3.0,0.4261,0.0,41.3327,0.0,0.0,5.7920946,24.3312234,98.9699,2.7985,-0.0086,-0.0,0.0053,0.085,0.0057,2.9896,0.9395
4.0,2.3883,0.0,231.6606,0.0,0.0,44.9062984,406.5542608,138.4466,46.7301,0.0068,-0.0005,0.2293,0.3758,0.0541,3.9594,3.9781
5.0,7.4952,0.0,727.0337,395.6973,5.5056,171.7068163,534.3241611999999,266.435,534.0872,0.0554,-0.0046,0.4521,0.917,0.0453,4.9536,9.9787
6.0,7.9277,0.0,768.9872,726.4091,9.5557,232.16856620000001,927.1605642999999,327.3396,926.8045,0.0788,-0.0079,0.4804,0.8613,0.0546,5.9437,8.7957
7.0,8.4562,0.0,820.2458,1176.0364,14.5036,300.9974324,1408.0558167000002,396.6932,1406.9915,0.1054,-0.0123,0.4898,0.8203,0.0609,6.936,8.0386
8.0,9.1311,0.0,885.7183,1756.8395,20.0648,379.51127230000003,1946.9009021000002,475.9515,1946.1403,0.136,-0.0169,0.4907,0.7928,0.0646,7.9242,7.5955
9.0,10.2583,0.0,995.0564,2491.0414,25.324,477.87891720000005,2455.6832707000003,575.3251,2456.2266,0.174,-0.0213,0.4894,0.7902,0.0645,8.9123,7.5826
10.0,11.3764,0.0,1103.5089,3397.5558,31.1451,586.311431,3022.4045482,684.5945,3021.2553,0.2156,-0.0263,0.4874,0.7862,0.0645,9.9052,7.5599
11.0,11.8731,0.0,1151.6829,4473.9261,39.2966,682.5526581,3814.5119603,781.5585,3811.6634,0.2529,-0.0333,0.4832,0.7577,0.0674,10.8954,7.1667
12.0,12.1003,3.4514,1173.7299,4999.9963,43.0924,596.2327444,4180.8431208,694.6053,4179.9042,0.2197,-0.0367,0.4148,0.5549,0.0619,11.885,6.7039
13.0,12.1001,6.31,1173.7111,5000.0088,43.0932,508.6410307,4179.4290611,606.3416,4180.0737,0.1861,-0.0369,0.3256,0.4026,0.0526,12.8748,6.1938
14.0,12.1,8.4402,1173.7002,4999.9973,43.0935,454.66454580000004,4181.2193456,551.8088,4180.2613,0.1653,-0.037,0.2604,0.31,0.0453,13.8676,5.7526
15.0,12.1,10.2564,1173.6969,4999.9726,43.0934,414.8642352,4181.0607615,511.557,4179.8059,0.1501,-0.0371,0.2117,0.2463,0.0394,14.8576,5.3704
16.0,12.1,11.8893,1173.7075,5000.0311,43.0935,383.8844643,4181.3510958,480.4093,4180.0811,0.1382,-0.0371,0.1743,0.2002,0.0346,15.8494,5.0349
17.0,12.0999,13.3963,1173.6954,4999.9797,43.0935,358.52352909999996,4180.8450637,454.8439,4180.2837,0.1287,-0.0372,0.1453,0.1656,0.0307,16.8395,4.739
18.0,12.1001,14.7726,1173.705,5000.0127,43.0935,340.3666283,4180.7590632,436.5464,4180.1698,0.1219,-0.0372,0.1224,0.1402,0.0274,17.8305,4.4756
19.0,12.0999,16.0719,1173.6921,4999.9741,43.0936,325.5635069,4181.0887685,421.6034,4179.9603,0.1165,-0.0373,0.1041,0.1204,0.0246,18.8217,4.2398
20.0,12.1,17.3164,1173.7091,5000.0182,43.0934,313.53268959999997,4176.9003673,409.6167,4179.7178,0.1123,-0.0373,0.0892,0.1047,0.0221,19.8099,4.0282
21.0,12.1,18.5212,1173.708,5000.0483,43.0937,303.7077988,4181.3213292,399.5768,4180.559,0.1087,-0.0374,0.0771,0.0919,0.0201,20.8036,3.8356
22.0,12.0999,19.6886,1173.6856,4999.933,43.0935,294.53672259999996,4180.9198101,390.2469,4180.1838,0.1055,-0.0375,0.0671,0.0813,0.0183,21.7929,3.6612
23.0,12.1001,20.8156,1173.7066,5000.0205,43.0935,286.6732217,4180.6045482,382.4251,4179.8703,0.103,-0.0376,0.0587,0.0724,0.0168,22.7847,3.5017
24.0,12.0999,21.9042,1173.6909,4999.9755,43.0937,279.77353480000005,4180.654037,375.4995,4179.829,0.1009,-0.0377,0.0516,0.0649,0.0154,23.775,3.3555
25.0,12.1001,22.96,1173.7158,5000.0427,43.0934,273.4863367,4176.027641600001,369.2641,4180.0279,0.0991,-0.0378,0.0457,0.0585,0.0142,24.7641,3.2213
26.0,12.1,23.9874,1173.7027,5000.0383,43.0938,268.34620870000003,4180.6784881,363.9762,4180.9662,0.0975,-0.0379,0.0406,0.053,0.0131,25.7573,3.0968
27.0,12.0999,24.99,1173.6784,4999.8927,43.0934,263.4770307,4179.6642979,358.9252,4179.7062,0.0963,-0.038,0.0363,0.0483,0.0122,26.7455,2.9821
28.0,12.1002,25.969,1173.7159,5000.0572,43.0935,259.1891069,4179.7485754,354.7795,4179.5513,0.0952,-0.0382,0.0325,0.0442,0.0113,27.7385,2.8752
