WS_[m/s]	RotSpeed_[rpm]	BldPitch_[deg]	GenSpeed_[rpm]	GenPower_[kW]	GenTorque_[kN-m]	RtAeroFxh_[kN]	RtAeroMxh_[kN-m]	RotThrust_[kN]	RotTorq_[kN-m]	TTDspFA_[m]	TTDspSS_[m]	RtAeroCp_[-]	RtAeroCt_[-]	RtTSR_[-]
2.0	5.1983	0.0	504.2374	0.0	0.0	34.0562481	-0.46205040000000003	127.551	-0.068	0.0049	0.0001	-0.0044	1.1361	17.2897
2.25	5.7889	0.0	561.523	0.0	0.0	43.688773	3.8263396	137.2791	0.4229	0.0103	0.0001	0.0273	1.152	17.1192
2.5	6.4548	0.0	626.111	0.0	0.0	53.8847916	3.2799054	147.5672	0.3628	0.0159	0.0001	0.019	1.1514	17.1849
2.75	6.9209	0.0	671.3302	8.5209	0.1284	64.6615791	12.6058576	158.4791	12.4569	0.0219	-0.0	0.059	1.141	16.7457
3.0	6.9547	0.0	674.6053	29.6514	0.4446	73.6388929	43.2984875	167.5705	43.1186	0.0271	-0.0003	0.1572	1.0921	15.4276
3.25	6.9936	0.0	678.3774	54.233	0.8087	83.0311428	78.65089789999999	177.0653	78.4386	0.0324	-0.0007	0.2259	1.0491	14.32
3.5	7.0384	0.0	682.7287	82.9333	1.2288	92.9069946	119.4094207	187.0562	119.1929	0.0381	-0.0012	0.2764	1.0122	13.3824
3.75	7.0896	0.0	687.6933	116.1141	1.708	103.3059035	165.9454465	197.5635	165.679	0.044	-0.0017	0.3145	0.9803	12.5808
4.0	7.1483	0.0	693.3871	154.7527	2.2577	114.159531	219.077029	208.574	218.9752	0.0502	-0.0023	0.3452	0.9524	11.8941
4.25	7.2148	0.0	699.8316	199.2395	2.88	125.5886958	279.5373626	220.097	279.3252	0.0568	-0.003	0.3705	0.9279	11.2976
4.5	7.2882	0.0	706.9554	249.3124	3.5675	137.50249789999998	346.0027915	232.1998	345.999	0.0636	-0.0037	0.3906	0.9067	10.7818
4.75	7.3683	0.0	714.7237	305.0217	4.3171	150.0660614	419.3424974	244.8257	418.7912	0.0706	-0.0046	0.4064	0.8874	10.3221
5.0	7.4553	0.0	723.1643	366.9197	5.1326	162.9652687	497.6842597	257.9489	497.7897	0.0781	-0.0055	0.4188	0.8702	9.9248
5.25	7.5492	0.0	732.273	435.1407	6.0112	176.654675	583.9125694	271.7138	583.1649	0.0857	-0.0065	0.4293	0.855	9.5673
5.5	7.6498	0.0	742.0289	510.0594	6.9534	190.587953	674.3046436	285.8962	674.407	0.0939	-0.0075	0.4377	0.8414	9.2595
5.75	7.7567	0.0	752.4024	591.6477	7.9545	205.30162049999998	772.4362712	300.7131	771.668	0.1021	-0.0086	0.4443	0.8285	8.9759
6.0	7.8698	0.0	763.3754	680.2367	9.0141	220.27916	874.4366102	315.9056	874.3376	0.1108	-0.0098	0.4496	0.8169	8.73
6.25	7.9888	0.0	774.9128	775.8192	10.1276	235.84814980000002	982.6217038	331.6382	982.3843	0.1196	-0.011	0.4537	0.8061	8.5072
6.5	8.1131	0.0	786.9683	878.4235	11.2914	251.8459179	1095.7871953000001	347.7936	1095.2628	0.1287	-0.0123	0.4567	0.7958	8.3062
6.75	8.2427	0.0	799.5416	988.3701	12.5048	268.2255973	1213.1200019	364.4236	1213.0166	0.1381	-0.0137	0.4592	0.7865	8.1288
7.0	8.3771	0.0	812.58	1105.5782	13.7633	285.20130459999996	1336.1656911	381.4968	1335.1543	0.1477	-0.0151	0.4603	0.777	7.9622
7.25	8.5167	0.0	826.1154	1230.6868	15.0697	302.6033379	1463.1326403	399.0989	1461.8509	0.1576	-0.0165	0.4614	0.7687	7.8161
7.5	8.6612	0.0	840.1386	1364.1192	16.4248	320.3275544	1592.7348296999999	417.1175	1593.2438	0.1679	-0.018	0.4618	0.7609	7.6853
7.75	8.811	0.0	854.6686	1506.1939	17.8272	338.8661663	1729.0777943	435.8499	1729.1388	0.1784	-0.0195	0.4623	0.7539	7.5652
8.0	8.9659	0.0	869.6904	1657.2981	19.2768	358.0431499	1870.4441189	455.1972	1869.8434	0.1892	-0.0211	0.4627	0.7476	7.4567
