WS_[m/s]	RotSpeed_[rpm]	BldPitch_[deg]	GenSpeed_[rpm]	GenPower_[kW]	GenTorque_[kN-m]	RtAeroFxh_[kN]	RtAeroMxh_[kN-m]	RotThrust_[kN]	RotTorq_[kN-m]	TTDspFA_[m]	TTDspSS_[m]	RtAeroCp_[-]	RtAeroCt_[-]	RtTSR_[-]
2.0	3.4378	0.0	333.4689	22.1369	0.6715	28.1618244	61.271058100000005	121.5927	64.662	0.002	-0.0006	0.371	0.9393	11.4314
2.25	3.4331	0.0	333.0069	32.9838	1.0018	33.4258029	97.1626666	126.926	97.1608	0.005	-0.001	0.414	0.8827	10.1582
2.5	3.4331	0.0	333.0125	48.3	1.4672	39.2091685	142.6819087	132.769	142.3481	0.0084	-0.0016	0.4414	0.8364	9.1303
2.75	3.4333	0.0	333.0294	66.6059	2.0232	45.0420924	196.47789170000001	138.6696	196.277	0.0117	-0.0022	0.4582	0.7958	8.3103
3.0	3.4332	0.0	333.0196	87.5795	2.6604	50.9490285	258.0194651	144.6315	258.0434	0.0151	-0.003	0.4626	0.7555	7.6133
3.25	3.6788	0.0	356.8394	111.5945	3.1634	59.4546891	306.6735574	153.2437	306.8189	0.02	-0.0035	0.4642	0.752	7.5348
3.5	3.9617	0.0	384.2868	139.4212	3.67	68.9711997	355.7355732	162.8729	355.9494	0.0254	-0.0041	0.4636	0.7515	7.5317
3.75	4.2445	0.0	411.7178	171.4937	4.2135	79.13923489999999	407.9653705	173.1411	408.6076	0.0312	-0.0047	0.4637	0.7518	7.5349
4.0	4.5272	0.0	439.1378	208.119	4.7941	90.06197809999999	464.2588231	184.1913	464.9295	0.0374	-0.0053	0.4636	0.7517	7.5336
4.25	4.8099	0.0	466.563	249.6079	5.4119	101.7267415	524.5075763	195.9822	524.8897	0.044	-0.006	0.4638	0.752	7.5331
4.5	5.0926	0.0	493.9808	296.2536	6.0667	114.0950279	588.3557592	208.5065	588.4428	0.051	-0.0067	0.4636	0.7518	7.5304
4.75	5.3753	0.0	521.4086	348.3865	6.759	127.10117509999999	655.2162735	221.6519	655.5654	0.0584	-0.0075	0.4641	0.7524	7.5342
5.0	5.6578	0.0	548.8114	406.2547	7.4881	140.877375	726.2934144999999	235.5656	726.3105	0.0662	-0.0083	0.4632	0.7516	7.5284
5.25	5.9405	0.0	576.2309	470.2113	8.2546	155.350754	800.8697748	250.2805	800.7093	0.0744	-0.0091	0.4637	0.7522	7.5305
5.5	6.2231	0.0	603.6364	540.5296	9.0582	170.4603129	878.5749656	265.4316	878.6118	0.0829	-0.01	0.4636	0.7521	7.5306
5.75	6.5056	0.0	631.0398	617.5526	9.8995	186.282992	959.9288061000001	281.4313	959.9559	0.0918	-0.0103	0.4637	0.7524	7.5318
6.0	6.788	0.0	658.4394	701.466	10.7768	202.8684038	1045.4578434	298.3583	1045.3738	0.1016	-0.012	0.4637	0.7525	7.531
6.25	7.0702	0.0	685.8102	792.6219	11.6912	220.1305533	1134.4074899	315.7527	1134.0622	0.1111	-0.0129	0.4635	0.7523	7.5292
6.5	7.3521	0.0	713.1563	891.2722	12.6423	238.0364195	1226.5408522999999	333.8549	1226.3011	0.1213	-0.0139	0.4632	0.752	7.5272
6.75	7.634	0.0	740.4973	997.7177	13.6296	256.7302314	1323.168456	352.7143	1322.1785	0.1317	-0.015	0.463	0.7518	7.5245
7.0	7.9156	0.0	767.8143	1112.2442	14.6536	276.0132133	1422.5297142	372.1881	1421.5044	0.1427	-0.0161	0.463	0.7519	7.5239
7.25	8.197	0.0	795.1088	1235.0947	15.7135	295.92841710000005	1524.9989109	392.399	1524.2579	0.154	-0.0173	0.4631	0.752	7.5244
7.5	8.478	0.0	822.3633	1366.512	16.8093	316.5791344	1631.6188714999998	413.2759	1630.5015	0.1657	-0.0185	0.4626	0.7514	7.5201
7.75	8.7588	0.0	849.6033	1506.8095	17.9408	337.7516788	1740.6771669999998	434.6775	1740.2522	0.1778	-0.0197	0.4628	0.7516	7.5214
8.0	9.0391	0.0	876.7906	1656.1398	19.1073	359.6931371	1854.0607978	456.8819	1853.4375	0.1901	-0.0209	0.4624	0.7511	7.5175
8.25	9.3191	0.0	903.9484	1814.8056	20.3089	382.3079171	1971.3313879	479.7208	1970.0759	0.2029	-0.0223	0.4623	0.7509	7.5148
8.5	9.5987	0.0	931.0724	1983.1232	21.5459	405.53068190000005	2091.8193335	503.207	2090.1464	0.2159	-0.0236	0.4619	0.7503	7.5105
8.75	9.8777	0.0	958.1383	2161.1599	22.817	429.1068078	2213.5593779	527.0975	2213.154	0.2294	-0.025	0.4615	0.7497	7.5083
9.0	10.1563	0.0	985.1652	2349.2132	24.122	453.49343550000003	2340.5617071	551.7409	2339.9078	0.2432	-0.0264	0.4613	0.7492	7.5047
9.25	10.4344	0.0	1012.1338	2547.4659	25.4606	478.4795895	2470.8653136	577.0202	2469.7022	0.2572	-0.0279	0.4608	0.7484	7.4992
9.5	10.7119	0.0	1039.0514	2756.15	26.8328	504.0044875	2604.5095025	602.7913	2602.9637	0.2716	-0.0294	0.4604	0.7476	7.4946
9.75	10.9889	0.0	1065.92	2975.4915	28.238	529.9033506999999	2739.7365199	629.014	2739.0542	0.2864	-0.031	0.4601	0.7469	7.4914
10.0	11.2652	0.0	1092.7274	3205.6253	29.6757	556.4712521	2879.1819342999997	655.9141	2878.3411	0.3014	-0.0326	0.4597	0.746	7.4861
10.25	11.5408	0.0	1119.458	3446.7128	31.1456	583.7156199000001	3023.2650007	683.3976	3020.8031	0.3167	-0.0342	0.4593	0.745	7.4798
10.5	11.8159	0.0	1146.1455	3699.0385	32.6474	611.1749215000001	3167.5321993	711.3097	3166.922	0.3323	-0.0359	0.4588	0.7441	7.4753
10.75	12.0903	0.0	1172.7562	3962.6962	34.1808	639.275771	3316.4678564	739.6202	3315.5633	0.3482	-0.0376	0.4583	0.7429	7.4692
11.0	12.1	0.0	1173.6993	4246.5671	36.5999	660.5394073	3551.0890633	761.1221	3550.1431	0.3604	-0.0402	0.4586	0.7334	7.304
11.25	12.1	0.0	1173.7003	4540.7154	39.1351	681.6194499000001	3797.0606018	782.4422	3796.0295	0.3725	-0.0431	0.4586	0.7239	7.1404
11.5	12.1	0.0	1173.701	4842.46	41.7357	702.6512896	4049.3758476	803.7128	4048.2873	0.3846	-0.0459	0.4581	0.7144	6.9839
