WS_[m/s]	RotSpeed_[rpm]	BldPitch_[deg]	GenSpeed_[rpm]	GenPower_[kW]	GenTorque_[kN-m]	RtAeroFxh_[kN]	RtAeroMxh_[kN-m]	RotThrust_[kN]	RotTorq_[kN-m]	TTDspFA_[m]	TTDspSS_[m]	RtAeroCp_[-]	RtAeroCt_[-]	RtTSR_[-]
2.0	5.2051	0.0	504.8902	0.0	0.0	34.1754064	-0.1811459	127.6711	-0.0175	0.0	0.0	-0.0018	1.1408	17.3059
2.25	5.8158	0.0	564.1294	0.0	0.0	44.231836799999996	4.6518495	137.728	0.5329	0.0	0.0	0.0333	1.1661	17.1843
2.5	6.4992	0.0	630.4185	0.0	0.0	54.542342600000005	3.5409956	148.0392	0.4041	0.0	0.0	0.0206	1.1648	17.2841
2.75	6.9227	0.0	671.5065	9.662	0.1455	64.8329596	14.030893299999999	158.3289	14.1068	0.0	0.0	0.0658	1.1453	16.7445
3.0	6.9559	0.0	674.7263	30.4335	0.4563	73.7523155	44.2057738	167.251	44.2737	0.0	0.0	0.1606	1.0945	15.4204
3.25	6.995	0.0	678.5107	55.1105	0.8216	83.1439372	79.5815668	176.6432	79.7226	0.0	0.0	0.2287	1.0513	14.3139
3.5	7.0401	0.0	682.8889	83.9977	1.2443	93.0213683	120.4640411	186.517	120.732	0.0	0.0	0.2791	1.0143	13.378
3.75	7.0915	0.0	687.8714	117.315	1.7252	103.4338776	167.0431925	196.9301	167.41	0.0	0.0	0.3169	0.9824	12.5768
4.0	7.1509	0.0	693.6409	156.4826	2.2821	114.3567773	220.97997469999999	207.8539	221.4501	0.0	0.0	0.3485	0.9547	11.8904
4.25	7.2177	0.0	700.1216	201.2508	2.9078	125.7447445	281.2345603	219.2374	282.1268	0.0	0.0	0.3735	0.9305	11.299
4.5	7.2916	0.0	707.2817	251.6195	3.5988	137.7758719	348.35846990000005	231.2779	349.2211	0.0	0.0	0.3936	0.9092	10.7791
4.75	7.3722	0.0	715.0996	307.7636	4.3535	150.3242149	421.6734007	243.8212	422.4924	0.0	0.0	0.4091	0.8895	10.3199
5.0	7.4598	0.0	723.5998	370.1361	5.1744	163.28222459999998	500.35224969999996	256.7755	502.0712	0.0	0.0	0.4218	0.8729	9.9258
5.25	7.5543	0.0	732.7688	438.906	6.0591	177.0297079	586.9239138	270.5275	588.038	0.0	0.0	0.4321	0.8574	9.5674
5.5	7.6557	0.0	742.6047	514.5353	7.009	191.0734437	677.8882092	284.5686	680.1229	0.0	0.0	0.4406	0.8441	9.26
5.75	7.7636	0.0	753.0702	596.9506	8.0187	205.8562646	776.2974981	299.3605	778.2041	0.0	0.0	0.4474	0.8316	8.9799
6.0	7.8777	0.0	764.1411	686.505	9.088	221.02976990000002	879.3742906	314.5168	881.9363	0.0	0.0	0.4525	0.8199	8.7312
6.25	7.998	0.0	775.8069	783.3423	10.214	236.764694	988.2095532	330.2606	991.2325	0.0	0.0	0.4569	0.8096	8.5111
6.5	8.1238	0.0	788.0084	887.4047	11.3917	252.9131773	1101.8937922	346.4187	1105.5277	0.0	0.0	0.4603	0.7998	8.3138
6.75	8.2548	0.0	800.7158	998.8208	12.6185	269.575197	1221.0161719	363.0733	1224.6636	0.0	0.0	0.4623	0.7901	8.1324
7.0	8.391	0.0	813.9297	1117.9824	13.8946	286.62598149999997	1344.0123346	380.1268	1348.4899	0.0	0.0	0.4639	0.7812	7.9717
7.25	8.5326	0.0	827.667	1245.2982	15.2201	304.3751671	1472.9416926	397.8748	1477.2553	0.0	0.0	0.4651	0.773	7.8253
7.5	8.6796	0.0	841.9237	1381.3439	16.597	322.4626755	1604.3974617000001	415.9548	1610.7352	0.0	0.0	0.466	0.7659	7.6978
7.75	8.8321	0.0	856.7123	1526.4902	18.0243	341.509379	1743.6089649	434.9997	1749.4459	0.0	0.0	0.4666	0.7591	7.5775
8.0	8.9983	0.0	872.8354	1681.2708	19.4852	361.2011089	1883.9341629	454.6964	1891.2088	0.0	0.0	0.4673	0.7539	7.4809
8.25	9.2817	0.0	900.3288	1845.2036	20.732	384.431873	2004.6588995999998	477.9303	2012.3665	0.0	0.0	0.4675	0.7542	7.4816
8.5	9.5655	0.0	927.8559	2019.6637	22.019	408.2160045	2127.4128621	501.7023	2137.219	0.0	0.0	0.468	0.7551	7.4866
8.75	9.8493	0.0	955.3817	2204.824	23.3451	432.8646324	2255.3499804	526.36	2266.0644	0.0	0.0	0.4681	0.7553	7.487
9.0	10.1334	0.0	982.9444	2401.1812	24.7113	458.3003346	2387.5014536999997	551.8025	2398.8627	0.0	0.0	0.4685	0.7558	7.4888
9.25	10.4178	0.0	1010.5302	2609.0503	26.1175	484.35397600000005	2522.4485283	577.8728	2535.4627	0.0	0.0	0.4689	0.7564	7.4921
9.5	10.7023	0.0	1038.123	2828.6581	27.5633	511.2536648	2662.445229	604.7867	2676.0545	0.0	0.0	0.4691	0.7567	7.4926
9.75	10.9869	0.0	1065.7308	3060.4371	29.0493	538.6723287	2804.4509131	632.1616	2820.2979	0.0	0.0	0.4692	0.7569	7.4945
10.0	11.2718	0.0	1093.3689	3304.7729	30.5755	566.9686062000001	2951.6631917	660.471	2968.6925	0.0	0.0	0.4694	0.7572	7.496
10.25	11.557	0.0	1121.0324	3561.9494	32.1417	595.8808501000001	3101.6913142	689.4079	3120.8912	0.0	0.0	0.47	0.7578	7.4999
10.5	11.7417	0.0	1138.9445	3833.1329	34.0448	622.4327247	3283.6756609	715.9257	3305.6182	0.0	0.0	0.4703	0.7543	7.4385
10.75	11.8004	0.0	1144.6383	4117.7319	36.3906	645.826865	3509.9325747000003	739.321	3533.4503	0.0	0.0	0.4707	0.7467	7.3017
11.0	11.8609	0.0	1150.5105	4413.6597	38.8068	669.6162753	3744.4519964	763.1555	3768.3317	0.0	0.0	0.4709	0.7392	7.1713
11.25	11.923	0.0	1156.5326	4720.6745	41.29	693.4018997	3982.6438412	786.8926	4009.3384	0.0	0.0	0.4708	0.7319	7.0493
11.5	12.1	0.3711	1173.7001	4999.993	43.0935	703.2837565	4156.2357015	796.7873	4184.6361	0.0	0.0	0.4667	0.7103	6.9979
11.75	12.1	1.9882	1173.6992	4999.9973	43.0935	639.7684577	4156.1739085	733.2713	4184.6571	0.0	0.0	0.4375	0.6189	6.849
12.0	12.1	3.0565	1173.699	4999.9957	43.0935	601.2757284	4156.1742636	694.778	4184.6738	0.0	0.0	0.4107	0.5577	6.7063
12.25	12.1	3.9342	1173.6985	4999.9992	43.0936	572.4382942	4156.1607686	665.9382	4184.686	0.0	0.0	0.3861	0.5095	6.5694
12.5	12.1	4.6792	1173.698	4999.998	43.0936	549.1421583	4156.1348439	642.6401	4184.6893	0.0	0.0	0.3634	0.4694	6.4379
12.75	12.1	5.3558	1173.6991	4999.995	43.0935	528.9261211	4156.1277413	622.4236	4184.6984	0.0	0.0	0.3424	0.4346	6.3117
13.0	12.1	5.9782	1173.6992	4999.9965	43.0936	511.2300435	4156.1167322	604.7289	4184.7066	0.0	0.0	0.323	0.404	6.1903
13.25	12.1	6.559	1173.6984	4999.9957	43.0936	495.4705916	4156.127031	588.9698	4184.7191	0.0	0.0	0.3051	0.3769	6.0735
13.5	12.1	7.107	1173.6991	4999.9961	43.0936	481.24508380000003	4156.1124706	574.744	4184.7197	0.0	0.0	0.2884	0.3527	5.961
13.75	12.1	7.6279	1173.6991	5000.0007	43.0935	468.2827018	4156.1092744	561.7804	4184.7247	0.0	0.0	0.273	0.3308	5.8526
