WS_[m/s]	RotSpeed_[rpm]	BldPitch_[deg]	GenSpeed_[rpm]	GenPower_[kW]	GenTorque_[kN-m]	RtAeroFxh_[kN]	RtAeroMxh_[kN-m]	RotThrust_[kN]	RotTorq_[kN-m]	TTDspFA_[m]	TTDspSS_[m]	RtAeroCp_[-]	RtAeroCt_[-]	RtTSR_[-]
2.0	3.4373	-0.0001	333.4208	22.1351	0.6716	28.1492232	61.2890277	121.6456	64.7062	0.0	0.0	0.3715	0.9397	11.4288
2.25	3.4331	-0.0001	333.0069	33.0311	1.0035	33.417928999999994	97.2122353	126.9144	97.3426	0.0	0.0	0.4143	0.8829	10.1547
2.5	3.4331	-0.0001	333.0139	48.3603	1.4691	39.203900999999995	142.7422328	132.7006	142.5464	0.0	0.0	0.4418	0.8367	9.1273
2.75	3.4333	-0.0001	333.0298	66.6691	2.0251	45.009233699999996	196.3726896	138.5045	196.4531	0.0	0.0	0.4584	0.796	8.3089
3.0	3.4332	-0.0001	333.0189	87.6408	2.6621	50.9384327	258.1410785	144.4347	258.2499	0.0	0.0	0.4629	0.7556	7.6091
3.25	3.6782	-0.0001	356.782	111.5467	3.1626	59.4189823	306.72439130000004	152.915	306.8233	0.0	0.0	0.4644	0.752	7.5303
3.5	3.9616	-0.0001	384.2765	139.3773	3.669	68.93824000000001	355.83232150000003	162.4345	355.9542	0.0	0.0	0.4641	0.7518	7.5284
3.75	4.2451	-0.0001	411.7752	171.5261	4.2137	79.1408225	408.3216295	172.6367	408.7737	0.0	0.0	0.4647	0.7526	7.5333
4.0	4.5285	-0.0001	439.266	208.2757	4.7963	90.05238159999999	464.46876480000003	183.5484	465.2741	0.0	0.0	0.4646	0.7526	7.534
4.25	4.812	-0.0001	466.7595	249.9362	5.4166	101.7273665	524.7509736000001	195.2233	525.4879	0.0	0.0	0.4646	0.7527	7.5323
4.5	5.0954	-0.0001	494.2537	296.8096	6.0747	114.0870863	588.4506188	207.5835	589.342	0.0	0.0	0.4645	0.7526	7.5311
4.75	5.379	-0.0001	521.7619	349.2149	6.7705	127.2275318	656.3935134000001	220.7241	656.9321	0.0	0.0	0.4647	0.7529	7.5302
5.0	5.6626	-0.0001	549.2723	407.4762	7.5044	140.9093768	726.4221507	234.4047	728.0389	0.0	0.0	0.4649	0.7533	7.5347
5.25	5.9464	-0.0001	576.8006	471.8949	8.2759	155.46077970000002	801.5000531999999	248.9557	802.9694	0.0	0.0	0.4648	0.7533	7.5328
5.5	6.2304	-0.0001	604.3522	542.8215	9.0858	170.657328	879.5071869	264.1535	881.539	0.0	0.0	0.4654	0.7541	7.5371
5.75	6.5146	-0.0001	631.9156	620.5489	9.9338	186.6157836	961.5482886	280.1083	963.8438	0.0	0.0	0.4656	0.7545	7.5381
6.0	6.7989	-0.0001	659.49	705.3904	10.8199	203.369933	1047.9613194	296.8663	1049.9423	0.0	0.0	0.4656	0.7546	7.5366
6.25	7.0833	-0.0001	687.0824	797.7082	11.7445	220.75377170000002	1137.1437923	314.2502	1139.6754	0.0	0.0	0.4657	0.7549	7.5378
6.5	7.3679	-0.0001	714.6878	897.8034	12.7076	238.8956672	1230.3139225999998	332.3972	1233.1929	0.0	0.0	0.4656	0.755	7.5376
6.75	7.6529	-0.0001	742.3325	1006.0443	13.7094	257.8512615	1327.8075502	351.3578	1330.5407	0.0	0.0	0.4661	0.7557	7.5393
7.0	7.9379	-0.0001	769.9799	1122.703	14.7498	277.3426693	1427.2476355000001	370.8375	1431.4235	0.0	0.0	0.4663	0.7561	7.5426
7.25	8.2231	-0.0001	797.6418	1248.1261	15.8289	297.71903710000004	1531.8020327000002	391.2172	1536.2487	0.0	0.0	0.4663	0.7564	7.5427
7.5	8.5085	-0.0001	825.327	1382.6713	16.947	318.77086599999996	1639.4415617	412.2671	1644.7896	0.0	0.0	0.4664	0.7567	7.544
7.75	8.7943	-0.0001	853.0441	1526.6841	18.1041	340.5348713	1750.4974667	434.0308	1757.0961	0.0	0.0	0.467	0.7576	7.5483
8.0	9.08	-0.0001	880.7633	1680.4251	19.3001	363.14289130000003	1866.3078047	456.6417	1873.304	0.0	0.0	0.4671	0.7579	7.5488
8.25	9.3663	-0.0001	908.528	1844.3576	20.5356	386.5271358	1986.1376165	480.0247	1993.3861	0.0	0.0	0.4674	0.7584	7.55
8.5	9.6525	-0.0001	936.2955	2018.7137	21.8103	410.3746853	2107.2849815000004	503.868	2117.0104	0.0	0.0	0.4678	0.759	7.5544
8.75	9.939	-0.0001	964.086	2203.8689	23.1243	435.1968405	2234.4141860000004	528.692	2244.7252	0.0	0.0	0.4679	0.7593	7.5548
9.0	10.2259	-0.0001	991.9085	2400.1835	24.4778	460.7271589	2365.0325908	554.2441	2376.2728	0.0	0.0	0.4684	0.7599	7.5576
9.25	10.5131	-0.0001	1019.7672	2608.0892	25.8714	486.9012669	2498.5950745	580.3936	2511.5887	0.0	0.0	0.4687	0.7604	7.5606
9.5	10.7999	-0.0001	1047.5896	2827.5021	27.3031	513.8821864	2637.0205205	607.3853	2650.7895	0.0	0.0	0.4689	0.7606	7.5612
9.75	11.0873	-0.0001	1075.4689	3059.2783	28.7754	541.4849314999999	2778.118192	634.9896	2793.8046	0.0	0.0	0.4691	0.7609	7.5634
10.0	11.3747	-0.0001	1103.3452	3303.429	30.2868	569.932342	2924.2135153	663.4311	2940.7798	0.0	0.0	0.4692	0.761	7.564
10.25	11.6624	-0.0001	1131.2553	3560.5062	31.8384	598.8136096	3071.3506494	692.3038	3091.3545	0.0	0.0	0.4697	0.7616	7.5689
10.5	11.9502	-0.0001	1159.1661	3830.6213	33.4289	628.7000155	3225.0143908	722.1792	3246.0563	0.0	0.0	0.4698	0.7616	7.5691
10.75	12.1	-0.0001	1173.6967	4116.4298	35.4784	655.0886115999999	3422.1068323	748.5862	3445.1604	0.0	0.0	0.4704	0.7572	7.4861
11.0	12.1	-0.0001	1173.6992	4415.4579	38.0556	677.2736209	3670.602228	770.7708	3695.4223	0.0	0.0	0.471	0.7476	7.316
