# x                          U1                      V1                         U2                        V2
0.000000000000000000e+00 0.000000000000000000e+00  0.000000000000000000e+00 0.000000000000000000e+00  0.000000000000000000e+00
8.759999999999999787e+00 1.258078838163046234e-02 -2.865385933397501458e-03 1.258078838161971399e-02 -2.865385933397501458e-03
1.751999999999999957e+01 4.999765333662591071e-02 -5.660498912185003666e-03 4.999765333657687355e-02 -5.660498912185003666e-03
2.627999999999999758e+01 1.113568884989381280e-01 -8.319694402754757370e-03 1.113568884988276331e-01 -8.319694402754757370e-03
3.503999999999999915e+01 1.951375192678565240e-01 -1.076594796682825254e-02 1.951375192676780279e-01 -1.076594796682825254e-02
4.379999999999999716e+01 2.991094444066509928e-01 -1.291536160312969396e-02 2.991094444064306135e-01 -1.291536160312969396e-02
5.255999999999999517e+01 4.203042053284844481e-01 -1.468488208692613449e-02 4.203042053282770030e-01 -1.468488208692613449e-02
6.131999999999999318e+01 5.550732051120796928e-01 -1.600490228494953412e-02 5.550732051119183774e-01 -1.600490228494953412e-02
7.007999999999999829e+01 6.992866619219638702e-01 -1.683929947125697643e-02 6.992866619218508495e-01 -1.683929947125697643e-02
7.884000000000000341e+01 8.487548172559647996e-01 -1.721701978454931101e-02 8.487548172559035153e-01 -1.721701978454931101e-02
8.759999999999999432e+01 1.000000000000000000e+00 -1.728202752279563159e-02 1.000000000000000000e+00 -1.728202752279563159e-02
