x,y
1.0,-0.00126
0.999113,-0.001325
0.997715,-0.001428
0.996224,-0.001538
0.994629,-0.001655
0.992914,-0.00178
0.99106,-0.001916
0.989044,-0.002063
0.986835,-0.002224
0.984396,-0.002402
0.981674,-0.002599
0.978601,-0.002822
0.975079,-0.003077
0.970967,-0.003373
0.966051,-0.003726
0.959991,-0.00416
0.952218,-0.004714
0.941738,-0.005456
0.926869,-0.0065
0.90556,-0.007982
0.877712,-0.009895
0.846199,-0.012032
0.813468,-0.014225
0.780424,-0.016414
0.747319,-0.018583
0.714241,-0.020726
0.681235,-0.022834
0.648344,-0.0249
0.615605,-0.026914
0.583057,-0.028863
0.550741,-0.030732
0.518694,-0.032506
0.486954,-0.034165
0.455537,-0.035691
0.424384,-0.037067
0.393119,-0.038285
0.361443,-0.039414
0.330132,-0.040428
0.299533,-0.041279
0.269805,-0.041923
0.241084,-0.042321
0.213532,-0.042436
0.187354,-0.042237
0.162829,-0.041705
0.140322,-0.040845
0.120247,-0.039699
0.102934,-0.038346
0.088452,-0.03689
0.076562,-0.035417
0.066841,-0.033984
0.058838,-0.032615
0.052165,-0.031316
0.046518,-0.030084
0.041671,-0.02891
0.037456,-0.027787
0.033748,-0.026708
0.030454,-0.025665
0.027501,-0.024651
0.024835,-0.023662
0.022413,-0.022692
0.020201,-0.021738
0.018172,-0.020796
0.016305,-0.019862
0.014582,-0.018933
0.012988,-0.018007
0.011513,-0.017081
0.010146,-0.016153
0.00888,-0.015221
0.00771,-0.014283
0.00663,-0.013337
0.005637,-0.012383
0.004729,-0.011418
0.003904,-0.010444
0.003161,-0.009459
0.002499,-0.008465
0.001917,-0.007463
0.001416,-0.006455
0.000994,-0.005443
0.000651,-0.00443
0.000383,-0.003421
0.000189,-0.002418
6.5e-05,-0.001425
6e-06,-0.00045
8e-06,0.000514
7e-05,0.001493
0.000195,0.002495
0.000386,0.003511
0.000645,0.004541
0.000974,0.005582
0.001373,0.006633
0.001844,0.007694
0.002388,0.008762
0.003007,0.009838
0.003701,0.010923
0.004473,0.012016
0.005326,0.01312
0.006262,0.014236
0.007286,0.015366
0.008404,0.016512
0.009622,0.017678
0.010948,0.018866
0.012392,0.020081
0.013965,0.021327
0.015683,0.02261
0.017563,0.023934
0.019628,0.025308
0.021903,0.026739
0.024424,0.028238
0.027232,0.029816
0.030382,0.031487
0.033942,0.033267
0.038001,0.035178
0.042674,0.037242
0.048109,0.039488
0.054498,0.041945
0.062073,0.044643
0.071105,0.047598
0.081858,0.050804
0.094531,0.054214
0.109172,0.057733
0.125663,0.061233
0.143767,0.06459
0.163217,0.0677
0.183778,0.070494
0.205265,0.072929
0.227538,0.074979
0.250488,0.07663
0.274033,0.077878
0.298105,0.078719
0.322654,0.079155
0.347649,0.079191
0.373106,0.078827
0.399196,0.07806
0.426283,0.07691
0.454038,0.075436
0.482187,0.073654
0.510624,0.071578
0.539295,0.06922
0.568165,0.066591
0.597203,0.063702
0.626382,0.060562
0.655673,0.05718
0.68505,0.053564
0.714488,0.04972
0.743959,0.045657
0.773436,0.041379
0.802873,0.036895
0.832171,0.032222
0.861019,0.027415
0.888454,0.02265
0.912379,0.01834
0.930851,0.01491
0.944156,0.012384
0.953824,0.010519
0.961145,0.009091
0.966927,0.007952
0.971658,0.007013
0.975638,0.006219
0.97906,0.005532
0.982053,0.004929
0.98471,0.004392
0.987094,0.003908
0.989255,0.003468
0.99123,0.003064
0.993047,0.002692
0.994729,0.002347
0.996294,0.002025
0.997757,0.001724
0.999129,0.00144
1.0,0.00126
