x,Cp
  0.998105943      ,  0.536690474    
  0.991024375      ,  0.381969869    
  0.977632046      ,  0.323249102    
  0.958379745      ,  0.280596137    
  0.933595717      ,  0.246181130    
  0.903582573      ,  0.216536343    
  0.868641376      ,  0.189873338    
  0.829079509      ,  0.165133178    
  0.785213947      ,  0.141671717    
  0.737371922      ,  0.119075477    
  0.685889542      ,   9.70692635E-02
  0.631110072      ,   7.54892230E-02
  0.573382318      ,   5.42606115E-02
  0.513058603      ,   3.33621502E-02
  0.450492829      ,   1.28046274E-02
  0.386038244      ,  -7.35008717E-03
  0.320045292      ,  -2.69895792E-02
  0.252860814      ,  -4.59908247E-02
  0.184826016      ,  -6.41899109E-02
  0.116275460      ,  -8.13407898E-02
   4.75358069E-02  ,  -9.72645283E-02
  -2.10751891E-02  , -0.111659765    
  -8.92486572E-02  , -0.124234557    
 -0.156686485      , -0.134572744    
 -0.223100483      , -0.142336965    
 -0.288213611      , -0.147100449    
 -0.351761043      , -0.148264170    
 -0.413488626      , -0.145302653    
 -0.473154068      , -0.137507319    
 -0.530528009      , -0.124038339    
 -0.585393071      , -0.104013205    
 -0.637543678      ,  -7.63500929E-02
 -0.686787367      ,  -3.96956205E-02
 -0.732944906      ,   7.54976273E-03
 -0.775849879      ,   6.71840906E-02
 -0.815348685      ,  0.141375124    
 -0.851301014      ,  0.232595205    
 -0.883580089      ,  0.343251050    
 -0.912073612      ,  0.474791825    
 -0.936682105      ,  0.625846744    
 -0.957319796      ,  0.787228584    
 -0.973915875      ,  0.931968212    
 -0.986413002      ,  0.999996722    
 -0.994768262      ,  0.892334700    
 -0.998953104      ,  0.521273017    
 -0.998953104      ,  -7.17029572E-02
 -0.994768322      , -0.692133307    
 -0.986412764      ,  -1.16237593    
 -0.973915458      ,  -1.44026542    
 -0.957319319      ,  -1.56997728    
 -0.936681330      ,  -1.60770822    
 -0.912073016      ,  -1.59320331    
 -0.883579552      ,  -1.55035806    
 -0.851300001      ,  -1.49280119    
 -0.815347433      ,  -1.42820597    
 -0.775848687      ,  -1.36042857    
 -0.732943654      ,  -1.29143000    
 -0.686785996      ,  -1.22247934    
 -0.637542009      ,  -1.15431571    
 -0.585391283      ,  -1.08716011    
 -0.530526638      ,  -1.02116823    
 -0.473152697      , -0.956421018    
 -0.413486719      , -0.893035650    
 -0.351759076      , -0.831012368    
 -0.288211763      , -0.770336509    
 -0.223098338      , -0.711034536    
 -0.156684339      , -0.653209805    
  -8.92466307E-02  , -0.596785307    
  -2.10730135E-02  , -0.541806579    
   4.75378633E-02  , -0.488336086    
  0.116277575      , -0.436380029    
  0.184828222      , -0.385887623    
  0.252862960      , -0.336905479    
  0.320047379      , -0.289415121    
  0.386040241      , -0.243380308    
  0.450494856      , -0.198767424    
  0.513060570      , -0.155514121    
  0.573384047      , -0.113506079    
  0.631111622      ,  -7.26771355E-02
  0.685891092      ,  -3.28491926E-02
  0.737373531      ,   6.19000196E-03
  0.785215378      ,   4.46873903E-02
  0.829080701      ,   8.30072761E-02
  0.868642509      ,  0.121653795    
  0.903583646      ,  0.161341965    
  0.933596551      ,  0.203164876    
  0.958380461      ,  0.248953164    
  0.977632523      ,  0.302150071    
  0.991024673      ,  0.370464265    
  0.998106062      ,  0.533444285    
