x,Cp
   1.00000000      ,   1.00000000    
  0.996212125      ,  0.421912313    
  0.985837221      ,  0.335521281    
  0.969427764      ,  0.275534511    
  0.947333097      ,  0.226370692    
  0.919860005      ,  0.182696700    
  0.887307227      ,  0.141979516    
  0.849977791      ,  0.102792740    
  0.808183670      ,   6.42440319E-02
  0.762247145      ,   2.57305503E-02
  0.712499917      ,  -1.31715536E-02
  0.659282267      ,  -5.27753830E-02
  0.602940977      ,  -9.33125019E-02
  0.543827176      , -0.134960532    
  0.482293963      , -0.177853465    
  0.418695748      , -0.222094178    
  0.353384733      , -0.267756820    
  0.286710024      , -0.314895630    
  0.219015896      , -0.363547802    
  0.150640547      , -0.413734555    
   8.19146037E-02  , -0.465466022    
   1.31611228E-02  , -0.518743873    
  -5.53071499E-02  , -0.573560596    
 -0.123186111      , -0.629907727    
 -0.190182567      , -0.687769532    
 -0.256014109      , -0.747136831    
 -0.320409417      , -0.807998896    
 -0.383108735      , -0.870348573    
 -0.443864703      , -0.934186220    
 -0.502440691      , -0.999515772    
 -0.558612585      ,  -1.06633329    
 -0.612169981      ,  -1.13463044    
 -0.662914038      ,  -1.20435286    
 -0.710657954      ,  -1.27536178    
 -0.755229354      ,  -1.34733939    
 -0.796468019      ,  -1.41962481    
 -0.834226847      ,  -1.49089408    
 -0.868373156      ,  -1.55856729    
 -0.898785949      ,  -1.61770320    
 -0.925360084      ,  -1.65891218    
 -0.948002577      ,  -1.66464162    
 -0.966636062      ,  -1.60325861    
 -0.981194854      ,  -1.42307162    
 -0.991630673      ,  -1.05901170    
 -0.997905970      , -0.484387279    
  -1.00000024      ,  0.190157354    
 -0.997905970      ,  0.726243198    
 -0.991630554      ,  0.974370897    
 -0.981195450      ,  0.979730010    
 -0.966636300      ,  0.859092712    
 -0.948003292      ,  0.697841644    
 -0.925360918      ,  0.538023472    
 -0.898786306      ,  0.395633996    
 -0.868373871      ,  0.274670422    
 -0.834228158      ,  0.174391210    
 -0.796469212      ,   9.25058722E-02
 -0.755230546      ,   2.64618993E-02
 -0.710659266      ,  -2.61044502E-02
 -0.662915468      ,  -6.72367811E-02
 -0.612171888      ,  -9.86554623E-02
 -0.558614254      , -0.121797442    
 -0.502441764      , -0.137869239    
 -0.443866372      , -0.147882342    
 -0.383110881      , -0.152698517    
 -0.320411205      , -0.153053045    
 -0.256016016      , -0.149581909    
 -0.190184951      , -0.142837882    
 -0.123188019      , -0.133305311    
  -5.53092957E-02  , -0.121410489    
   1.31589174E-02  , -0.107526422    
   8.19126964E-02  ,  -9.19860601E-02
  0.150638223      ,  -7.50784874E-02
  0.219013810      ,  -5.70589304E-02
  0.286707819      ,  -3.81455421E-02
  0.353382766      ,  -1.85253620E-02
  0.418693721      ,   1.65021420E-03
  0.482291937      ,   2.22625136E-02
  0.543825269      ,   4.32267785E-02
  0.602939367      ,   6.45009875E-02
  0.659280837      ,   8.60858560E-02
  0.712498248      ,  0.108035445    
  0.762245536      ,  0.130471647    
  0.808182359      ,  0.153604269    
  0.849976659      ,  0.177770019    
  0.887306035      ,  0.203493655    
  0.919859052      ,  0.231607735    
  0.947332382      ,  0.263499618    
  0.969427168      ,  0.301696897    
  0.985836864      ,  0.351582348    
  0.996211886      ,  0.428930163    
   1.00000000      ,   1.00000000    
