x,y
  1.00000000      ,   0.00000000    
  0.996212125      ,   5.73165831E-04
  0.985837221      ,   2.16902862E-03
  0.969427764      ,   4.73630335E-03
  0.947333097      ,   8.24758317E-03
  0.919860005      ,   1.26743037E-02
  0.887307227      ,   1.79802794E-02
  0.849977791      ,   2.41190288E-02
  0.808183670      ,   3.10321022E-02
  0.762247145      ,   3.86490189E-02
  0.712499917      ,   4.68870364E-02
  0.659282267      ,   5.56520745E-02
  0.602940977      ,   6.48391172E-02
  0.543827176      ,   7.43348673E-02
  0.482293963      ,   8.40182230E-02
  0.418695748      ,   9.37618092E-02
  0.353384733      ,  0.103436261    
  0.286710024      ,  0.112908147    
  0.219015896      ,  0.122046851    
  0.150640547      ,  0.130723119    
   8.19146037E-02  ,  0.138810799    
   1.31611228E-02  ,  0.146191686    
  -5.53071499E-02  ,  0.152754530    
 -0.123186111      ,  0.158396497    
 -0.190182567      ,  0.163026139    
 -0.256014109      ,  0.166562736    
 -0.320409417      ,  0.168938741    
 -0.383108735      ,  0.170098975    
 -0.443864703      ,  0.170001492    
 -0.502440691      ,  0.168621451    
 -0.558612585      ,  0.165942699    
 -0.612169981      ,  0.161967367    
 -0.662914038      ,  0.156708375    
 -0.710657954      ,  0.150196448    
 -0.755229354      ,  0.142470598    
 -0.796468019      ,  0.133584455    
 -0.834226847      ,  0.123602875    
 -0.868373156      ,  0.112604752    
 -0.898785949      ,  0.100674838    
 -0.925360084      ,   8.79084989E-02
 -0.948002577      ,   7.44082257E-02
 -0.966636062      ,   6.02883920E-02
 -0.981194854      ,   4.56651673E-02
 -0.991630673      ,   3.06580514E-02
 -0.997905970      ,   1.53934946E-02
  -1.00000024      ,  -1.78813963E-07
 -0.997905970      ,  -1.53933456E-02
 -0.991630554      ,  -3.06564774E-02
 -0.981195450      ,  -4.56645600E-02
 -0.966636300      ,  -6.02887534E-02
 -0.948003292      ,  -7.44089857E-02
 -0.925360918      ,  -8.79075527E-02
 -0.898786306      , -0.100674264    
 -0.868373871      , -0.112605125    
 -0.834228158      , -0.123603769    
 -0.796469212      , -0.133584112    
 -0.755230546      , -0.142470106    
 -0.710659266      , -0.150196508    
 -0.662915468      , -0.156709209    
 -0.612171888      , -0.161967278    
 -0.558614254      , -0.165942594    
 -0.502441764      , -0.168621674    
 -0.443866372      , -0.170002609    
 -0.383110881      , -0.170098901    
 -0.320411205      , -0.168939427    
 -0.256016016      , -0.166563109    
 -0.190184951      , -0.163026050    
 -0.123188019      , -0.158397213    
  -5.53092957E-02  , -0.152754903    
   1.31589174E-02  , -0.146192431    
   8.19126964E-02  , -0.138811231    
  0.150638223      , -0.130723625    
  0.219013810      , -0.122047789    
  0.286707819      , -0.112908430    
  0.353382766      , -0.103436455    
  0.418693721      ,  -9.37623605E-02
  0.482291937      ,  -8.40182230E-02
  0.543825269      ,  -7.43354931E-02
  0.602939367      ,  -6.48398399E-02
  0.659280837      ,  -5.56522943E-02
  0.712498248      ,  -4.68874089E-02
  0.762245536      ,  -3.86492237E-02
  0.808182359      ,  -3.10324226E-02
  0.849976659      ,  -2.41191946E-02
  0.887306035      ,  -1.79804191E-02
  0.919859052      ,  -1.26744993E-02
  0.947332382      ,  -8.24771356E-03
  0.969427168      ,  -4.73640300E-03
  0.985836864      ,  -2.16910429E-03
  0.996211886      ,  -5.73201512E-04
   1.00000000      ,   0.00000000    
