#r              Cq          Va          Vt
0.0050000   0.5881019   1.3800185   0.1650746
0.0252041   0.8322716   1.2897459   0.3750795
0.0454082   0.8969506   1.1676518   0.4644754
0.0656122   0.9009869   1.0389623   0.5103636
0.0858163   0.8686734   0.9146286   0.5284150
0.1060204   0.8247750   0.8130185   0.5185566
0.1262245   0.7248708   0.7621552   0.4814754
0.1464286   0.6412670   0.7354071   0.4356820
0.1666327   0.5773371   0.7178223   0.3953313
0.1868367   0.5247254   0.7090232   0.3621358
0.2070408   0.4748525   0.7002240   0.3335738
0.2272449   0.4383605   0.6935867   0.3078972
0.2474490   0.4030329   0.6871436   0.2875008
0.2676531   0.3743984   0.6807005   0.2710705
0.2878571   0.3512273   0.6747345   0.2537554
0.3080612   0.3282988   0.6721029   0.2385656
0.3282653   0.3080058   0.6694713   0.2275459
0.3484694   0.2918357   0.6671045   0.2153607
0.3686735   0.2762548   0.6651445   0.2035326
0.3888776   0.2599310   0.6631845   0.1918683
0.4090816   0.2480341   0.6612244   0.1823869
0.4292857   0.2364178   0.6592644   0.1756626
0.4494898   0.2254596   0.6577632   0.1689382
0.4696939   0.2158676   0.6562646   0.1622138
0.4898980   0.2071054   0.6547660   0.1547407
0.5101020   0.1988521   0.6532674   0.1476609
0.5303061   0.1912846   0.6517688   0.1434501
0.5505102   0.1838803   0.6502702   0.1391988
0.5707143   0.1770040   0.6487170   0.1344615
0.5909184   0.1701148   0.6470234   0.1297243
0.6111224   0.1631299   0.6453299   0.1249871
0.6313265   0.1570683   0.6436364   0.1202498
0.6515306   0.1522334   0.6419428   0.1162608
0.6717347   0.1479950   0.6402493   0.1131029
0.6919388   0.1441611   0.6385557   0.1100426
0.7121429   0.1396607   0.6362003   0.1071276
0.7323469   0.1348259   0.6331576   0.1042351
0.7525510   0.1313240   0.6301149   0.1014623
0.7727551   0.1280907   0.6270723   0.0986895
0.7929592   0.1248573   0.6240296   0.0957419
0.8131633   0.1213988   0.6204883   0.0927501
0.8333673   0.1168042   0.6157510   0.0901398
0.8535714   0.1125300   0.6110138   0.0877714
0.8737755   0.1092967   0.6058951   0.0854030
0.8939796   0.1050978   0.6004809   0.0825702
0.9141837   0.0994624   0.5838570   0.0796552
0.9343878   0.0957772   0.5569978   0.0771145
0.9545918   0.0903725   0.5213685   0.0748179
0.9747959   0.0768676   0.4931467   0.0741433
0.9950000   0.0845443   0.5371072   0.0663766
